id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
134,Pakue Utara,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Porehu,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Katoi,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Tiwu,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Tolala,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Asera,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Wiwirano,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Langgikima,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Molawe,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Lasolo,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Lembo,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Sawa,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Oheo,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Andowia,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Motui,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Wawolesea,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Lasolo Kepulauan,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Landawe,Konawe Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Kulisusu,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Kambowa,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Bonegunu,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Kulisusu Barat,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Kulisusu Utara,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Wakorumba Utara,Buton Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Tirawuta,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Loea,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Ladongi,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Poli Polia,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Lambandia,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Lalolae,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Mowewe,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Uluiwoi,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Tinondo,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Aere,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Ueesi,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Dangia,Kolaka Timur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Wawonii Barat,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Wawonii Utara,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Wawonii Timur Laut,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
